time,T_in,v_flow,T_Node 1,T_Node 2,T_HEX 1,T pipe in HEX 1,m_flow pipe in HEX 1,T pipe out HEX 1,m_flow pipe out HEX 1,dT 1_1,dT 1_2,T_ambient
6600,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
6660,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
6720,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
6780,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
6840,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
6900,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
6960,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
7020,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
7080,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
7140,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
7200,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
7260,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
7320,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
7380,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
7440,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
7500,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
7560,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
7620,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
7680,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
7740,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
7800,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
7860,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
7920,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
7980,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
8040,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
8100,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
8160,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
8220,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
8280,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
8340,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
8400,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
8460,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
8520,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
8580,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
8640,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
8700,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
8760,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
8820,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
8880,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
8940,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
9000,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
9060,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
9120,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
9180,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
9240,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
9300,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
9360,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
9420,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
9480,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
