Tc_in,Tc_out,mflow_consumer,Th_in,Th_out,mflow_hex,Q_d
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.45541542425458614
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4561994728909837
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.45699970713479265
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.45781607328381246
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.45864851659506045
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.45949698128881183
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4603614105527156
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.46124174654598504
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.46213793040366313
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.46304990224096254
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4639776011576793
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.46492096524268023
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.46587993157846397
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4668544362457949
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.46784441432840973
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4688497999177961
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4698705261180437
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4709065250507664
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4719577278600962
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4730240647177471
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4741054648281502
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4752018564336584
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.47631316681982105
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4774393223207273
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.47858024832441903
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.47973586927837136
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.480906108695042
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4820908891574873
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.48329013232504625
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4845037589390905
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4857316888288411
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4869738409172511
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4882301332269531
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4895004828862718
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.49078480613530207
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4920830183320489
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.49339503395863316
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4947207666275587
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4960601290880431
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.49741303323241
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.49877939010254313
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5001591098964016
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5015521019745959
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.502958274867023
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5043775362795632
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5058097931008337
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5072549514090023
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.508712916478659
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5101835927877438
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5116668840245344
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5131626930946864
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5146709221283337
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5161914724872407
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5177242447720118
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5192691388293538
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5208260537593932
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5223948879230452
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5239755389494372
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5255679037433829
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5271718784929084
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.5287873586768295
